libkf5quickaddons5:amd64	5.115.0-0ubuntu5
libkf5runner5:amd64	5.115.0-0ubuntu4
libkf5screen-bin	4:5.27.11-0ubuntu2
libkf5screen-data	4:5.27.11-0ubuntu2
libkf5screen8:amd64	4:5.27.11-0ubuntu2
libkf5screendpms8:amd64	4:5.27.11-0ubuntu2
libkf5service-bin	5.115.0-0ubuntu4
libkf5service-data	5.115.0-0ubuntu4
libkf5service5:amd64	5.115.0-0ubuntu4
libkf5solid5:amd64	5.115.0-0ubuntu5
libkf5solid5-data	5.115.0-0ubuntu5
libkf5sonnet5-data	5.115.0-0ubuntu5
libkf5sonnetcore5:amd64	5.115.0-0ubuntu5
libkf5sonnetui5:amd64	5.115.0-0ubuntu5
libkf5style5:amd64	5.115.0-0ubuntu7
libkf5su-bin	5.115.0-0ubuntu5
libkf5su-data	5.115.0-0ubuntu5
libkf5su5:amd64	5.115.0-0ubuntu5
libkf5syndication5abi1:amd64	1:5.115.0-0ubuntu5
libkf5syntaxhighlighting-data	5.115.0-0ubuntu3
libkf5syntaxhighlighting5:amd64	5.115.0-0ubuntu3
libkf5sysguard-bin	4:5.27.11-0ubuntu3
libkf5sysguard-data	4:5.27.11-0ubuntu3
libkf5texteditor-bin	5.115.0-0ubuntu4
libkf5texteditor5:amd64	5.115.0-0ubuntu4
libkf5textwidgets-data	5.115.0-0ubuntu4
libkf5textwidgets5:amd64	5.115.0-0ubuntu4
libkf5threadweaver5:amd64	5.115.0-0ubuntu4
libkf5wallet-bin	5.115.0-0ubuntu3
libkf5wallet-data	5.115.0-0ubuntu3
libkf5wallet5:amd64	5.115.0-0ubuntu3
libkf5waylandclient5:amd64	4:5.115.0-0ubuntu5
libkf5widgetsaddons-data	5.115.0-0ubuntu4
libkf5widgetsaddons5:amd64	5.115.0-0ubuntu4
libkf5windowsystem-data	5.115.0-0ubuntu4
libkf5windowsystem5:amd64	5.115.0-0ubuntu4
libkf5xmlgui-bin:amd64	5.115.0-0ubuntu5
libkf5xmlgui-data	5.115.0-0ubuntu5
libkf5xmlgui5:amd64	5.115.0-0ubuntu5
libkfontinst5	4:5.27.11-0ubuntu4.1
libkfontinstui5	4:5.27.11-0ubuntu4.1
libklibc:amd64	2.0.13-4ubuntu0.2
libkmod2:amd64	31+20240202-2ubuntu7.2
libkpathsea6:amd64	2023.20230311.66589-9build3
libkpipewire5	5.27.11-0ubuntu2
libkpipewiredmabuf5	5.27.11-0ubuntu2
libkpipewirerecord5	5.27.11-0ubuntu2
libkpmcore12	23.08.5-0ubuntu3
libkrb5-3:amd64	1.20.1-6ubuntu2.6
libkrb5support0:amd64	1.20.1-6ubuntu2.6
libksba8:amd64	1.6.6-1build1
libkscreenlocker5:amd64	5.27.11-0ubuntu2
libksgrd9	4:5.27.11-0ubuntu3
libksysguardformatter1	4:5.27.11-0ubuntu3
libksysguardsensorfaces1	4:5.27.11-0ubuntu3
libksysguardsensors1	4:5.27.11-0ubuntu3
libksysguardsystemstats1	4:5.27.11-0ubuntu3
libkuserfeedback-l10n	1.3.0-3build3
libkuserfeedbackcore1:amd64	1.3.0-3build3
libkuserfeedbackwidgets1:amd64	1.3.0-3build3
libkwalletbackend5-5:amd64	5.115.0-0ubuntu3
libkwineffects14	4:5.27.11-0ubuntu3
libkwinglutils14	4:5.27.11-0ubuntu3
libkworkspace5-5	4:5.27.11-0ubuntu4.1
liblangtag-common	0.6.7-1build2
liblangtag1:amd64	0.6.7-1build2
liblapack3:amd64	3.12.0-3build1.1
liblayershellqtinterface5	5.27.11-0ubuntu3
liblc3-1:amd64	1.0.4-3build1
liblcms2-2:amd64	2.14-2ubuntu0.1
liblcms2-utils	2.14-2ubuntu0.1
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2:amd64	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.6
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblightdm-gobject-1-0:amd64	1.30.0-0ubuntu14
liblilv-0-0:amd64	0.24.22-1build1
liblirc-client0t64:amd64	0.10.2-0.8build1
libllvm18:amd64	1:18.1.3-1ubuntu1
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
liblmdb0:amd64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblockfile-bin	1.17-1build3
liblockfile1:amd64	1.17-1build3
liblouis-data	3.29.0-1build1
liblouis20:amd64	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64:amd64	2.12.0-3.1build1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
libltdl7:amd64	2.4.7-7build1
liblttng-ust-common1t64:amd64	2.13.7-1.1ubuntu2
liblttng-ust-ctl5t64:amd64	2.13.7-1.1ubuntu2
liblttng-ust1t64:amd64	2.13.7-1.1ubuntu2
liblua5.2-0:amd64	5.2.4-3build2
liblua5.4-0:amd64	5.4.6-3build2
liblvm2cmd2.03:amd64	2.03.16-3ubuntu3.2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:amd64	2.10-2build4
libm17n-0:amd64	1.8.4-1build2
libmad0:amd64	0.15.1b-10.2ubuntu1
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmailtools-perl	2.21-2
libmalcontent-0-0:amd64	0.11.1-1ubuntu1.3
libmanette-0.2-0:amd64	0.2.7-1build2
libmarisa0:amd64	0.2.6-14ubuntu4
libmarkdown2:amd64	2.2.7-2build1
libmatroska7:amd64	1.7.1-1build1
libmaxminddb0:amd64	1.9.1-1build1
libmbedcrypto7t64:amd64	2.28.8-1
libmbim-glib4:amd64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmbim-utils	1.31.2-0ubuntu3.1
libmd0:amd64	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libmediaart-2.0-0:amd64	1.9.6-1build2
libmessaging-menu0:amd64	23.10.0-1build3
libmhash2:amd64	0.9.9.9-9build3
libminiupnpc17:amd64	2.2.6-1build2
libminizip1t64:amd64	1:1.3.dfsg-3.1ubuntu2
libmm-glib0:amd64	1.23.4-0ubuntu2
libmnl0:amd64	1.0.5-2build1
libmount1:amd64	2.39.3-9ubuntu6.5
libmousepad0:amd64	0.6.1-1build2
libmozjs-115-0t64:amd64	115.10.0-1
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpcdec6:amd64	2:0.1~r495-2build1
libmpeg2-4:amd64	0.5.1-9build1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmsgraph-0-1:amd64	0.2.1-0ubuntu3
libmtdev1t64:amd64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1ubuntu1
libmtp-runtime	1.1.21-3.1ubuntu1
libmtp9t64:amd64	1.1.21-3.1ubuntu1
libmutter-14-0:amd64	46.2-1ubuntu0.24.04.14
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libmysqlclient21:amd64	8.0.46-0ubuntu0.24.04.3
libmythes-1.2-0:amd64	2:1.2.5-1build1
libnatpmp1t64:amd64	20230423-1.2build1
libnautilus-extension4:amd64	1:46.4-0ubuntu0.2
libncurses6:amd64	6.4+20240113-1ubuntu2.1
libncursesw6:amd64	6.4+20240113-1ubuntu2.1
libndp0:amd64	1.8-1fakesync1ubuntu0.24.04.1
libnet-dbus-perl	1.2.0-2build3
libnet-dns-perl	1.44-1ubuntu1
libnet-dns-sec-perl	1.23-1build4
libnet-http-perl	6.23-1
libnet-libidn-perl	0.12.ds-4build4
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl:amd64	1.94-1build4
libnetfilter-conntrack3:amd64	1.0.9-6build1
libnetplan1:amd64	1.1.2-8ubuntu1~24.04.2
libnetsnmptrapd40t64:amd64	5.9.4+dfsg-1.1ubuntu3.2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnfnetlink0:amd64	1.0.2-2build1
libnfs14:amd64	5.0.2-1ubuntu0.24.04.1
libnfsidmap1:amd64	1:2.6.4-3ubuntu5.1
libnftables1:amd64	1.0.9-1ubuntu0.1
libnftnl11:amd64	1.2.6-2build1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnice10:amd64	0.1.21-2build3
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnm0:amd64	1.46.0-1ubuntu2.6
libnma-common	1.10.6-3build2
libnma-gtk4-0:amd64	1.10.6-3build2
libnma0:amd64	1.10.6-3build2
libnode-dev	18.19.1+dfsg-6ubuntu5
libnode109:amd64	18.19.1+dfsg-6ubuntu5
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnotificationmanager1	4:5.27.11-0ubuntu4.1
libnotify-bin	0.8.3-1build2
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss-mdns:amd64	0.15.1-4build1
libnss-sss:amd64	2.9.4-1.1ubuntu6.5
libnss-systemd:amd64	255.4-1ubuntu8.16
libnss3:amd64	2:3.98-1ubuntu0.2
libntfs-3g89t64:amd64	1:2022.10.3-1.2ubuntu3.1
libntlm0:amd64	1.7-1build1
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
libnutscan2t64:amd64	2.8.1-3.1ubuntu2
libnvme1t64	1.8-3ubuntu1
libogg0:amd64	1.3.5-3build1
libonig5:amd64	6.9.9-1build1
libopencc-data	1.1.7+ds1-1ubuntu0.1
libopencc1.1	1.1.7+ds1-1ubuntu0.1
libopenconnect5:amd64	9.12-1build5
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopengl0:amd64	1.7.0-1build1
libopenjp2-7:amd64	2.5.0-2ubuntu0.5
libopenmpt-modplug1:amd64	0.8.9.0-openmpt1-2build2
libopenmpt0t64:amd64	0.7.3-1.1build3
libopus0:amd64	1.4-1build1
liborc-0.4-0t64:amd64	1:0.4.38-1ubuntu0.1
liborcus-0.18-0:amd64	0.19.2-3build3
liborcus-parser-0.18-0:amd64	0.19.2-3build3
libotf1:amd64	0.9.16-4build2
liboxygenstyle5-5:amd64	4:5.27.11-0ubuntu2
liboxygenstyleconfig5-5:amd64	4:5.27.11-0ubuntu2
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:amd64	1.2.8-2ubuntu1.5
libpackagekitqt5-1:amd64	1.1.1-1build3
libpam-cap:amd64	1:2.66-5ubuntu2.4
libpam-fprintd:amd64	1.94.3-1
libpam-gnome-keyring:amd64	46.1-2ubuntu0.2
libpam-kwallet-common	4:5.27.11-0ubuntu2
libpam-kwallet5	4:5.27.11-0ubuntu2
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-pwquality:amd64	1.4.5-3build1
libpam-runtime	1.5.3-5ubuntu5.5
libpam-sss:amd64	2.9.4-1.1ubuntu6.5
libpam-systemd:amd64	255.4-1ubuntu8.16
libpam0g:amd64	1.5.3-5ubuntu5.5
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpangomm-1.4-1v5:amd64	2.46.4-1build3
libpangomm-2.48-1t64:amd64	2.52.0-1build1
libpangoxft-1.0-0:amd64	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1:amd64	1.1.29build1
libparted2t64:amd64	3.6-4build1
libpath-utils1t64:amd64	0.6.2-2.1build1
libpcap0.8t64:amd64	1.10.4-4.1ubuntu3
libpcaudio0:amd64	1.2-2build3
libpci-dev:amd64	1:3.10.0-2build1
libpci3:amd64	1:3.10.0-2build1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcre2-16-0:amd64	10.42-4ubuntu2
libpcre2-32-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcre3:amd64	2:8.39-15build1
libpcsclite1:amd64	2.0.3-1build1
libpeas-1.0-0:amd64	1.36.0-3build4
libpeas-common	1.36.0-3build4
libperl4-corelibs-perl	0.005-1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.3
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libphonenumber8:amd64	8.12.57+ds-4.2build3
libphonon-l10n	4:4.12.0-3.1build3
libphonon4qt5-4t64:amd64	4:4.12.0-3.1build3
libpinyin-data:amd64	2.8.1-1build3
libpinyin15:amd64	2.8.1-1build3
libpipeline1:amd64	1.5.7-2
libpipewire-0.3-0t64:amd64	1.0.5-1ubuntu3.2
libpipewire-0.3-common	1.0.5-1ubuntu3.2
libpipewire-0.3-modules:amd64	1.0.5-1ubuntu3.2
libpipewire-0.3-modules-xrdp:amd64	0.2-2
libpixman-1-0:amd64	0.42.2-1build1
libpkcs11-helper1t64:amd64	1.29.0-2.1build2
libplacebo338:amd64	6.338.2-2build1
libplasma-geolocation-interface5	4:5.27.11-0ubuntu4.1
libplist-2.0-4:amd64	2.3.0-1~exp2build2
libplymouth5:amd64	24.004.60-1ubuntu7.1
libpng16-16t64:amd64	1.6.43-5ubuntu0.6
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-15ubuntu5
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.3
libpolkit-qt5-1-1:amd64	0.200.0-1build4
libpoppler-cpp0t64:amd64	24.02.0-1ubuntu9.9
libpoppler-glib8t64:amd64	24.02.0-1ubuntu9.9
libpoppler-qt5-1t64:amd64	24.02.0-1ubuntu9.9
libpoppler134:amd64	24.02.0-1ubuntu9.9
libpopt0:amd64	1.19+dfsg-1build1
libportal-gtk3-1:amd64	0.7.1-5build5
libportal-gtk4-1:amd64	0.7.1-5build5
libportal1:amd64	0.7.1-5build5
libpostproc57:amd64	7:6.1.1-3ubuntu5
libpowerdevilcore2:amd64	4:5.27.11-0ubuntu2
libpowerdevilui5:amd64	4:5.27.11-0ubuntu2
libppd2:amd64	2:2.0.0-0ubuntu4.1
libppd2-common	2:2.0.0-0ubuntu4.1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libprocesscore9	4:5.27.11-0ubuntu3
libprocessui9	4:5.27.11-0ubuntu3
libprotobuf-c1:amd64	1.4.1-1ubuntu4
libprotobuf-lite32t64:amd64	3.21.12-8.2ubuntu0.3
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.3
libproxy-tools	0.5.4-4build1
libproxy1-plugin-gsettings:amd64	0.5.4-4build1
libproxy1-plugin-networkmanager:amd64	0.5.4-4build1
libproxy1v5:amd64	0.5.4-4build1
libpskc0t64:amd64	2.6.11-2.1ubuntu0.1
libpsl5t64:amd64	0.21.2-1.1build1
libpulse-mainloop-glib0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality1:amd64	1.4.5-3build1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.15
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.15
libpython3.12t64:amd64	3.12.3-1ubuntu0.15
libqaccessibilityclient-qt5-0:amd64	0.6.0-1build2
libqalculate-data	4.9.0-1.1build2
libqalculate22t64:amd64	4.9.0-1.1build2
libqca-qt5-2:amd64	2.3.8-1build3
libqca-qt5-2-plugins:amd64	2.3.8-1build3
libqmi-glib5:amd64	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqmobipocket2:amd64	4:23.08.5-0ubuntu3
libqpdf29t64:amd64	11.9.0-1.1ubuntu0.1
libqrencode4:amd64	4.1.1-1build2
libqrtr-glib0:amd64	1.2.2-1ubuntu4
libqt5concurrent5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5core5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5hunspellinputmethod5:amd64	5.15.13+dfsg-1
libqt5multimedia5:amd64	5.15.13-1
libqt5multimedia5-plugins:amd64	5.15.13-1
libqt5multimediagsttools5:amd64	5.15.13-1
libqt5multimediaquick5:amd64	5.15.13-1
libqt5multimediawidgets5:amd64	5.15.13-1
libqt5network5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5positioning5:amd64	5.15.13+dfsg-1
libqt5printsupport5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5qml5:amd64	5.15.13+dfsg-1
libqt5qmlmodels5:amd64	5.15.13+dfsg-1
libqt5qmlworkerscript5:amd64	5.15.13+dfsg-1
libqt5quick5:amd64	5.15.13+dfsg-1
libqt5quickcontrols2-5:amd64	5.15.13+dfsg-1
libqt5quickshapes5:amd64	5.15.13+dfsg-1
libqt5quicktemplates2-5:amd64	5.15.13+dfsg-1
libqt5quickwidgets5:amd64	5.15.13+dfsg-1
libqt5sensors5:amd64	5.15.13-1
libqt5sql5-sqlite:amd64	5.15.13+dfsg-1ubuntu1
libqt5sql5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5svg5:amd64	5.15.13-1
libqt5test5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5texttospeech5:amd64	5.15.13-1
libqt5virtualkeyboard5:amd64	5.15.13+dfsg-1
libqt5waylandclient5:amd64	5.15.13-1
libqt5waylandcompositor5:amd64	5.15.13-1
libqt5webchannel5:amd64	5.15.13-1
libqt5webengine-data	5.15.16+dfsg-3
libqt5webengine5:amd64	5.15.16+dfsg-3
libqt5webenginecore5:amd64	5.15.16+dfsg-3
libqt5webenginewidgets5:amd64	5.15.16+dfsg-3
libqt5webview5:amd64	5.15.13-1
libqt5widgets5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5x11extras5:amd64	5.15.13-1
libqt5xml5t64:amd64	5.15.13+dfsg-1ubuntu1
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
librabbitmq4:amd64	0.11.0-1ubuntu0.1
libraptor2-0:amd64	2.0.16-3ubuntu0.1
libraqm0:amd64	0.10.1-1build1
librasqal3t64:amd64	0.9.33-2.1build1
librav1e0:amd64	0.7.1-2
libraw1394-11:amd64	2.1.2-2build3
libraw23t64:amd64	0.21.2-2.1ubuntu0.24.04.1
librdf0t64:amd64	1.0.17-3.1ubuntu3
libre2-10:amd64	20230301-3build1
libreadline8t64:amd64	8.2-4build1
libref-array1t64:amd64	0.6.2-2.1build1
libreoffice-base-core	4:24.2.7-0ubuntu0.24.04.4
libreoffice-calc	4:24.2.7-0ubuntu0.24.04.4
libreoffice-common	4:24.2.7-0ubuntu0.24.04.5
libreoffice-core	4:24.2.7-0ubuntu0.24.04.5
libreoffice-draw	4:24.2.7-0ubuntu0.24.04.4
libreoffice-gnome	4:24.2.7-0ubuntu0.24.04.5
libreoffice-gtk3	4:24.2.7-0ubuntu0.24.04.5
libreoffice-help-common	4:24.2.7-0ubuntu0.24.04.5
libreoffice-help-en-gb	4:24.2.7-0ubuntu0.24.04.5
libreoffice-help-en-us	4:24.2.7-0ubuntu0.24.04.5
libreoffice-impress	4:24.2.7-0ubuntu0.24.04.4
libreoffice-l10n-en-gb	4:24.2.7-0ubuntu0.24.04.5
libreoffice-l10n-en-za	4:24.2.7-0ubuntu0.24.04.5
libreoffice-math	4:24.2.7-0ubuntu0.24.04.5
libreoffice-style-colibre	4:24.2.7-0ubuntu0.24.04.5
libreoffice-style-elementary	4:24.2.7-0ubuntu0.24.04.5
libreoffice-style-yaru	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-common	4:24.2.7-0ubuntu0.24.04.5
libreoffice-uiconfig-math	4:24.2.7-0ubuntu0.24.04.5
libreoffice-writer	4:24.2.7-0ubuntu0.24.04.4
libresid-builder0c2a	2.1.1-15ubuntu3
librest-1.0-0:amd64	0.9.1-6build3
librevenge-0.0-0:amd64	0.0.5-3build1
librist4:amd64	0.2.10+dfsg-2
libroc0.3:amd64	0.3.0+dfsg-7ubuntu2
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librsync2t64:amd64	2.3.4-1.1ubuntu2
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
librubberband2:amd64	3.3.0+dfsg-2build1
librygel-core-2.8-0:amd64	0.42.5-1ubuntu3
librygel-db-2.8-0:amd64	0.42.5-1ubuntu3
librygel-renderer-2.8-0:amd64	0.42.5-1ubuntu3
librygel-server-2.8-0:amd64	0.42.5-1ubuntu3
libsamplerate0:amd64	0.2.2-4build1
libsane-common	1.2.1-7build4
libsane-hpaio:amd64	3.23.12+dfsg0-0ubuntu5.1
libsane1:amd64	1.2.1-7build4
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-gssapi-mit:amd64	2.1.28+dfsg1-5ubuntu3.1
libsbc1:amd64	2.0-1build1
libscim8v5:amd64	1.4.18+git20211204-0.2build3
libseccomp2:amd64	2.5.5-1ubuntu3.1
libsecret-1-0:amd64	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors-dev:amd64	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol2:amd64	3.5-2build1
libserd-0-0:amd64	0.32.2-1
libsframe1:amd64	2.42-4ubuntu2.10
libsharpyuv0:amd64	1.3.2-0.4build3
libshine3:amd64	3.1.1-2build1
libshout3:amd64	2.4.6-1build2
libsidplay1v5:amd64	1.36.60-1build1
libsidplay2	2.1.1-15ubuntu3
libsigc++-2.0-0v5:amd64	2.12.1-2
libsigc++-3.0-0:amd64	3.6.0-2
libsignon-plugins-common1:amd64	8.61-1ubuntu5
libsignon-qt5-1:amd64	8.61-1ubuntu5
libslang2:amd64	2.3.3-3build2
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.5
libsmbclient0:amd64	2:4.19.5+dfsg-4ubuntu9.6
libsnapd-glib-2-1:amd64	1.64-0ubuntu5
libsnapd-qt-2-1:amd64	1.64-0ubuntu5
libsnappy1v5:amd64	1.1.10-1build1
libsndfile1:amd64	1.2.2-1ubuntu5.24.04.1
libsnmp-base	5.9.4+dfsg-1.1ubuntu3.2
libsnmp-dev	5.9.4+dfsg-1.1ubuntu3.2
libsnmp-perl	5.9.4+dfsg-1.1ubuntu3.2
libsnmp40t64:amd64	5.9.4+dfsg-1.1ubuntu3.2
libsocket6-perl	0.29-3build3
libsodium23:amd64	1.0.18-1ubuntu0.24.04.1
libsonic0:amd64	0.2.0-13build1
libsord-0-0:amd64	0.16.16-2build1
libsoup-2.4-1:amd64	2.74.3-6ubuntu1.6
libsoup-3.0-0:amd64	3.4.4-5ubuntu0.7
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoup2.4-common	2.74.3-6ubuntu1.6
libsource-highlight-common	3.1.9-4.3build1
libsource-highlight4t64:amd64	3.1.9-4.3build1
libsoxr0:amd64	0.1.3-4build3
libspa-0.2-bluetooth:amd64	1.0.5-1ubuntu3.2
libspa-0.2-modules:amd64	1.0.5-1ubuntu3.2
libspatialaudio0t64:amd64	0.3.0+git20180730+dfsg1-2.1build1
libspdlog1.12:amd64	1:1.12.0+ds-2build1
libspectre1:amd64	0.2.12-1build2
libspeechd2:amd64	0.12.0~rc2-2build3
libspeex1:amd64	1.2.1-2ubuntu2.24.04.1
libspeexdsp1:amd64	1.2.1-1ubuntu3
libsphinxbase3t64:amd64	0.8+5prealpha+1-17build2
libsqlite3-0:amd64	3.45.1-1ubuntu2.6
libsquashfuse0:amd64	0.5.0-2build1
libsratom-0-0:amd64	0.6.16-1build1
libsrt1.5-gnutls:amd64	1.5.3-1build2
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.4
libssh-gcrypt-4:amd64	0.10.6-2ubuntu0.4
libssh2-1t64:amd64	1.11.0-4.1ubuntu0.24.04.2
libssl-dev:amd64	3.0.13-0ubuntu3.11
libssl3t64:amd64	3.0.13-0ubuntu3.11
libsss-certmap0	2.9.4-1.1ubuntu6.5
libsss-idmap0	2.9.4-1.1ubuntu6.5
libsss-nss-idmap0	2.9.4-1.1ubuntu6.5
libstartup-notification0:amd64	0.12-6build3
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libstemmer0d:amd64	2.2.0-4build1
libstoken1t64:amd64	0.92-1.1build2
libsvtav1enc1d1:amd64	1.7.0+dfsg-2build1
libswresample4:amd64	7:6.1.1-3ubuntu5
libswscale7:amd64	7:6.1.1-3ubuntu5
libsynctex2:amd64	2023.20230311.66589-9build3
libsysmetrics1:amd64	1.7.3ubuntu0.24.04.3
libsystemd-shared:amd64	255.4-1ubuntu8.16
libsystemd0:amd64	255.4-1ubuntu8.16
libtag1v5:amd64	1.13.1-1build1
libtag1v5-vanilla:amd64	1.13.1-1build1
libtagc0:amd64	1.13.1-1build1
libtalloc2:amd64	2.4.2-1build2
libtaskmanager6	4:5.27.11-0ubuntu4.1
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtcl8.6:amd64	8.6.14+dfsg-1build1
libtdb1:amd64	1.4.10-1build1
libteamdctl0:amd64	1.31-1build3
libtevent0t64:amd64	0.16.1-2build1
libtext-charwidth-perl:amd64	0.04-11build3
libtext-iconv-perl:amd64	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtheora0:amd64	1.1.1+dfsg.1-16.1build3
libthunarx-3-0:amd64	4.18.8-1build3
libtie-ixhash-perl	1.23-4
libtiff6:amd64	4.5.1+git230720-4ubuntu2.5
libtimedate-perl	2.3300-2
libtinfo6:amd64	6.4+20240113-1ubuntu2.1
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtk8.6:amd64	8.6.14-1build1
libtomcrypt1:amd64	1.18.2+dfsg-7build1
libtommath1:amd64	1.2.1-2build1
libtotem-plparser-common	3.26.6-1build5
libtotem-plparser18:amd64	3.26.6-1build5
libtotem0:amd64	43.0-2ubuntu4
libtraceevent1:amd64	1:1.8.2-1ubuntu2.1
libtraceevent1-plugin:amd64	1:1.8.2-1ubuntu2.1
libtracefs1:amd64	1.8.0-1ubuntu1
libtracker-sparql-3.0-0:amd64	3.7.1-1build1
libtry-tiny-perl	0.31-2
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libtss2-esys-3.0.2-0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-mu-4.0.1-0t64:amd64	4.0.1-7.1ubuntu5.1
libtss2-rc0t64:amd64	4.0.1-7.1ubuntu5.1
